"id","description","latitude","longitude","name","display_order","image_url","estimated_wait_minutes","live_status_message","live_status_updated_at","remaining_stock","max_reservation_minutes","booth_intro","menu_image_url","menu_board_json","category","close_time","content_json","day_part","open_time","reservation_enabled","tags"
"11","축제 사진을 포토카드로 바로 출력하는 포토 부스","37.2825","127.0431","포토카드 프린트 존","11","https://picsum.photos/seed/festflow-ajou-photo-card/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.186205","80","","","","","포토존","23:00:00","","상시","11:30:00","false","사진, 출력"
"12","야간 조명과 함께 사진을 찍는 대표 포토존","37.2831","127.0429","네온 포토 터널","12","https://picsum.photos/seed/festflow-ajou-neon-photo/800/450","1","시뮬레이션: 현재 1명 · 여유","2026-06-12T02:02:00.189204","999","","","","","포토존","01:00:00","","야간","18:30:00","false","야간, 사진"
"13","행사 위치, 분실물, 시간 변경을 안내하는 중앙 데스크","37.2816","127.044","종합 안내 데스크","13","https://picsum.photos/seed/festflow-ajou-info/800/450","1","시뮬레이션: 현재 1명 · 여유","2026-06-12T02:02:00.194206","999","","","","","안내","01:00:00","","상시","10:00:00","false","안내, 분실물"
"14","간단한 응급 처치와 휴식 지원을 제공하는 안전 부스","37.282","127.0427","응급 케어 스팟","14","https://picsum.photos/seed/festflow-ajou-care/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.198204","999","","","","","응급","01:00:00","","상시","10:00:00","false","응급, 휴식"
"15","전자공학과의 시그니처 야식 주점","37.283","127.0446","전자공학과 파동주점","15","https://picsum.photos/seed/festflow-ajou-pub-3/800/450","41","시뮬레이션: 현재 204명 · 매우 혼잡","2026-06-12T02:02:00.202204","95","10","","","","주점","01:00:00","","야간","18:00:00","true","야식, 주류"
"16","소프트웨어학과 학생회가 운영하는 게임 콘셉트 주점","37.2822","127.0455","소프트웨어학과 버그제로 주점","16","https://picsum.photos/seed/festflow-ajou-pub-4/800/450","35","시뮬레이션: 현재 172명 · 매우 혼잡","2026-06-12T02:02:00.206204","70","10","","","","주점","01:00:00","","야간","18:00:00","true","게임, 단체석"
"17","채식 덮밥과 샐러드를 판매하는 건강식 부스","37.2828","127.0435","비건 덮밥 키친","17","https://picsum.photos/seed/festflow-ajou-vegan/800/450","47","시뮬레이션: 현재 234명 · 매우 혼잡","2026-06-12T02:02:00.211204","85","10","","","","음식","19:00:00","","주간","11:00:00","false","비건, 식사"
"18","과일 크레페와 아이스 음료를 판매하는 디저트 부스","37.2815","127.0448","크레페 디저트 바","18","https://picsum.photos/seed/festflow-ajou-crepe/800/450","41","시뮬레이션: 현재 204명 · 매우 혼잡","2026-06-12T02:02:00.214204","65","10","","","","음식","22:00:00","","상시","12:00:00","false","디저트, 음료"
"19","친구들과 짧게 즐기는 보드게임 체험 공간","37.2826","127.0457","보드게임 라운지","19","https://picsum.photos/seed/festflow-ajou-boardgame/800/450","1","시뮬레이션: 현재 3명 · 여유","2026-06-12T02:02:00.218204","40","10","","","","체험","23:00:00","","상시","12:00:00","false","실내, 게임"
"20","나만의 향을 조합해 미니 향수를 만드는 체험 부스","37.2835","127.0438","향수 블렌딩 클래스","20","https://picsum.photos/seed/festflow-ajou-perfume/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.222204","36","10","","","","체험","18:30:00","","주간","13:00:00","false","공방, 만들기"
"21","10분 안에 단서를 풀어 탈출하는 미니 방탈출","37.2814","127.0434","방탈출 미니룸","21","https://picsum.photos/seed/festflow-ajou-escape/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.227204","25","10","","","","체험","23:30:00","","야간","17:00:00","false","퍼즐, 팀플"
"22","즉석 댄스 배틀 참가 등록과 대진 안내 부스","37.2837","127.0449","댄스 배틀 접수처","22","https://picsum.photos/seed/festflow-ajou-dance/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.231206","120","10","","","","이벤트","21:00:00","","야간","16:00:00","false","공연, 참가형"
"23","현장 관객이 참여하는 상식 퀴즈 이벤트 부스","37.2821","127.0425","퀴즈 쇼 아레나","23","https://picsum.photos/seed/festflow-ajou-quiz/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.235204","150","10","","","","이벤트","22:00:00","","상시","13:00:00","false","퀴즈, 경품"
"24","랜덤 음악에 맞춰 누구나 참여하는 야외 이벤트","37.284","127.0441","랜덤 플레이 댄스 존","24","https://picsum.photos/seed/festflow-ajou-rpd/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.238205","999","10","","","","이벤트","23:00:00","","야간","18:00:00","false","댄스, 야외"
"25","학과 굿즈와 한정판 축제 소품을 판매하는 부스","37.2819","127.046","아주대 굿즈 리셀렉트","25","https://picsum.photos/seed/festflow-ajou-campus-goods/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.242205","58","10","","","","굿즈","21:30:00","","상시","11:00:00","false","스티커, 키링"
"26","응원봉과 팔찌를 꾸미는 커스텀 굿즈 부스","37.2829","127.0462","응원봉 커스텀 샵","26","https://picsum.photos/seed/festflow-ajou-lightstick/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.246204","44","10","","","","굿즈","00:00:00","","야간","16:00:00","false","응원, 커스텀"
"27","학생 셀러가 운영하는 빈티지 의류 플리마켓","37.2813","127.0456","빈티지 의류 마켓","27","https://picsum.photos/seed/festflow-ajou-vintage/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.250204","76","10","","","","플리마켓","18:30:00","","주간","12:00:00","false","의류, 중고"
"28","LP, 독립출판물, 중고 도서를 만나는 마켓","37.2836","127.0427","레코드 앤 북 마켓","28","https://picsum.photos/seed/festflow-ajou-records/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.254204","90","10","","","","플리마켓","19:00:00","","주간","11:30:00","false","책, 음악"
"29","달빛 조명 콘셉트의 즉석 사진 포토존","37.2841","127.0432","달빛 인생네컷","29","https://picsum.photos/seed/festflow-ajou-moon-photo/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.258204","999","10","","","","포토존","01:00:00","","야간","18:00:00","false","사진, 조명"
"30","학과 깃발과 축제 배너 앞에서 촬영하는 포토월","37.2811","127.0442","학과 깃발 포토월","30","https://picsum.photos/seed/festflow-ajou-flagwall/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.261204","999","10","","","","포토존","18:00:00","","주간","10:00:00","false","단체사진, 포토월"
"31","영어 안내와 캠퍼스 길찾기를 지원하는 안내 부스","37.2839","127.0453","외국인 안내 센터","31","https://picsum.photos/seed/festflow-ajou-global-info/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.265214","999","10","","","","안내","23:00:00","","상시","10:00:00","false","영어, 길찾기"
"32","휴대폰 충전과 보조배터리 대여를 지원하는 편의 부스","37.2823","127.0464","충전 스테이션","32","https://picsum.photos/seed/festflow-ajou-charge/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.269216","35","10","","","","안내","01:00:00","","상시","10:00:00","false","충전, 대여"
"33","탈수와 과열을 예방하는 그늘 휴식 부스","37.281","127.0437","쿨다운 휴식존","33","https://picsum.photos/seed/festflow-ajou-cooldown/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.274215","999","10","","","","응급","20:00:00","","주간","11:00:00","false","휴식, 생수"
"34","늦은 시간 귀가 동선과 안전 상담을 지원하는 부스","37.2842","127.0448","야간 안전 라운지","34","https://picsum.photos/seed/festflow-ajou-night-safe/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.277741","999","10","","","","응급","01:00:00","","야간","18:00:00","false","안전, 귀가"
"35","학생 창업팀의 제품을 시연하고 피드백을 받는 부스","37.2833","127.0466","창업동아리 데모데이","35","https://picsum.photos/seed/festflow-ajou-demo/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.281741","100","10","","","","기타","18:00:00","","주간","12:00:00","false","창업, 데모"
"36","짧게 쉬어갈 수 있는 조용한 힐링 콘텐츠 부스","37.2812","127.0429","멍때리기 힐링존","36","https://picsum.photos/seed/festflow-ajou-healing/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.285742","999","10","","","","기타","23:00:00","","상시","11:00:00","false","휴식, 조용함"
"37","공과대학 학생회가 운영하는 야간 주점입니다.","37.2832","127.0451","공과대학 주점","37","https://picsum.photos/seed/festflow-1/800/450","48","시뮬레이션: 현재 240명 · 매우 혼잡","2026-06-12T02:02:00.290742","120","10","공과대학 학생회가 운영하는 야간 주점입니다. 운영시간은 18:00부터 01:00까지입니다.","","[{""name"":""대표 안주 세트"",""price"":""12000원"",""description"":""현장 인기 메뉴 조합"",""soldOut"":false},{""name"":""논알콜 음료"",""price"":""3000원"",""description"":""누구나 주문 가능"",""soldOut"":false},{""name"":""오늘의 한정 메뉴"",""price"":""9000원"",""description"":""재고 소진 시 마감"",""soldOut"":false}]","주점","01:00:00","","야간","18:00:00","true","주류, 안주, 야간"
"38","게임 콘셉트로 꾸민 주점입니다.","37.2822","127.0455","소프트웨어학과 주점","38","https://picsum.photos/seed/festflow-2/800/450","36","시뮬레이션: 현재 179명 · 매우 혼잡","2026-06-12T02:02:00.295741","70","10","게임 콘셉트로 꾸민 주점입니다. 운영시간은 18:00부터 01:00까지입니다.","","[{""name"":""대표 안주 세트"",""price"":""12000원"",""description"":""현장 인기 메뉴 조합"",""soldOut"":false},{""name"":""논알콜 음료"",""price"":""3000원"",""description"":""누구나 주문 가능"",""soldOut"":false},{""name"":""오늘의 한정 메뉴"",""price"":""9000원"",""description"":""재고 소진 시 마감"",""soldOut"":false}]","주점","01:00:00","","야간","18:00:00","true","주류, 게임"
"39","닭강정과 감자튀김을 판매하는 먹거리 부스입니다.","37.2817","127.0447","닭강정 푸드트럭","39","https://picsum.photos/seed/festflow-3/800/450","37","시뮬레이션: 현재 185명 · 매우 혼잡","2026-06-12T02:02:00.301742","90","10","닭강정과 감자튀김을 판매하는 먹거리 부스입니다. 운영시간은 11:00부터 23:30까지입니다.","","[{""name"":""대표 메뉴"",""price"":""7000원"",""description"":""빠르게 받을 수 있는 기본 메뉴"",""soldOut"":false},{""name"":""사이드 메뉴"",""price"":""4000원"",""description"":""간단히 나눠 먹기 좋음"",""soldOut"":false},{""name"":""세트 메뉴"",""price"":""10000원"",""description"":""음료 포함"",""soldOut"":false}]","푸드","23:30:00","","상시","11:00:00","false","간식, 포장"
"40","따뜻한 타코야키와 음료를 제공합니다.","37.2829","127.0428","타코야키 스테이션","40","https://picsum.photos/seed/festflow-4/800/450","42","시뮬레이션: 현재 208명 · 매우 혼잡","2026-06-12T02:02:00.305737","55","10","따뜻한 타코야키와 음료를 제공합니다. 운영시간은 17:00부터 00:30까지입니다.","","[{""name"":""대표 메뉴"",""price"":""7000원"",""description"":""빠르게 받을 수 있는 기본 메뉴"",""soldOut"":false},{""name"":""사이드 메뉴"",""price"":""4000원"",""description"":""간단히 나눠 먹기 좋음"",""soldOut"":false},{""name"":""세트 메뉴"",""price"":""10000원"",""description"":""음료 포함"",""soldOut"":false}]","푸드","00:30:00","","야간","17:00:00","false","일식, 인기"
"41","현장 사진으로 AI 캐리커처 이미지를 만드는 체험 부스입니다.","37.2822","127.0449","AI 캐리커처","41","https://picsum.photos/seed/festflow-6/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.309741","40","10","현장 사진으로 AI 캐리커처 이미지를 만드는 체험 부스입니다. 운영시간은 13:00부터 22:00까지입니다.","","[{""name"":""기본 체험권"",""price"":""3000원"",""description"":""1회 참여"",""soldOut"":false},{""name"":""2인 체험권"",""price"":""5000원"",""description"":""친구와 함께 참여"",""soldOut"":false},{""name"":""기념 출력"",""price"":""2000원"",""description"":""결과물 추가 출력"",""soldOut"":false}]","체험","22:00:00","","상시","13:00:00","false","AI, 포토"
"42","티셔츠, 스티커, 응원봉 등 축제 공식 굿즈를 판매합니다.","37.2834","127.0443","공식 굿즈샵","42","https://picsum.photos/seed/festflow-8/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.314741","45","10","티셔츠, 스티커, 응원봉 등 축제 공식 굿즈를 판매합니다. 운영시간은 11:00부터 22:00까지입니다.","","[{""name"":""기념 스티커"",""price"":""2000원"",""description"":""축제 한정 디자인"",""soldOut"":false},{""name"":""랜덤 굿즈"",""price"":""5000원"",""description"":""현장 수량 한정"",""soldOut"":false},{""name"":""패키지 세트"",""price"":""12000원"",""description"":""인기 상품 묶음"",""soldOut"":false}]","굿즈","22:00:00","","상시","11:00:00","false","굿즈, 기념품"
"43","습득물 접수, 보관, 본인 확인 후 반환을 처리하는 분실물 전용 부스입니다.","37.2814","127.0438","분실물 보관소","43","https://picsum.photos/seed/festflow-11/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.318743","999","10","습득물 접수, 보관, 본인 확인 후 반환을 처리하는 분실물 전용 부스입니다. 운영시간은 10:00부터 01:00까지입니다.","","[{""name"":""현장 안내"",""price"":""무료"",""description"":""스태프에게 문의하세요"",""soldOut"":false},{""name"":""긴급 도움"",""price"":""무료"",""description"":""필요 시 즉시 지원"",""soldOut"":false},{""name"":""위치 문의"",""price"":""무료"",""description"":""주요 부스와 공연장 안내"",""soldOut"":false}]","분실물","01:00:00","","상시","10:00:00","false","분실물, 보관, 반환"
"44","축제 프레임으로 사진을 남길 수 있는 포토 부스입니다.","37.2826","127.0432","네컷 포토존","44","https://picsum.photos/seed/festflow-12/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.322741","80","10","축제 프레임으로 사진을 남길 수 있는 포토 부스입니다. 운영시간은 11:00부터 23:00까지입니다.","","[{""name"":""기본 체험권"",""price"":""3000원"",""description"":""1회 참여"",""soldOut"":false},{""name"":""2인 체험권"",""price"":""5000원"",""description"":""친구와 함께 참여"",""soldOut"":false},{""name"":""기념 출력"",""price"":""2000원"",""description"":""결과물 추가 출력"",""soldOut"":false}]","포토존","23:00:00","","상시","11:00:00","false","사진, 추억, 포토카드"
"45","야간 공연 전 직접 야광 팔찌를 만드는 체험 부스입니다.","37.2828","127.0447","야광 팔찌 만들기","45","https://picsum.photos/seed/festflow-13/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.325741","65","10","야간 공연 전 직접 야광 팔찌를 만드는 체험 부스입니다. 운영시간은 16:00부터 23:30까지입니다.","","[{""name"":""기본 체험권"",""price"":""3000원"",""description"":""1회 참여"",""soldOut"":false},{""name"":""2인 체험권"",""price"":""5000원"",""description"":""친구와 함께 참여"",""soldOut"":false},{""name"":""기념 출력"",""price"":""2000원"",""description"":""결과물 추가 출력"",""soldOut"":false}]","체험","23:30:00","","야간","16:00:00","false","공예, 야광, 체험"
"46","학생 셀러가 직접 만든 소품과 중고 굿즈를 판매하는 마켓입니다.","37.2818","127.045","청년 플리마켓","46","https://picsum.photos/seed/festflow-14/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.330741","110","10","학생 셀러가 직접 만든 소품과 중고 굿즈를 판매하는 마켓입니다. 운영시간은 11:00부터 18:00까지입니다.","","[{""name"":""기념 스티커"",""price"":""2000원"",""description"":""축제 한정 디자인"",""soldOut"":false},{""name"":""랜덤 굿즈"",""price"":""5000원"",""description"":""현장 수량 한정"",""soldOut"":false},{""name"":""패키지 세트"",""price"":""12000원"",""description"":""인기 상품 묶음"",""soldOut"":false}]","플리마켓","18:00:00","","주간","11:00:00","false","소품, 굿즈, 마켓"
"47","보조배터리 대여와 휴대폰 급속 충전을 지원하는 편의 부스입니다.","37.2831","127.0435","모바일 충전 스테이션","47","https://picsum.photos/seed/festflow-15/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.333744","24","10","보조배터리 대여와 휴대폰 급속 충전을 지원하는 편의 부스입니다. 운영시간은 10:00부터 01:00까지입니다.","","[{""name"":""현장 안내"",""price"":""무료"",""description"":""스태프에게 문의하세요"",""soldOut"":false},{""name"":""긴급 도움"",""price"":""무료"",""description"":""필요 시 즉시 지원"",""soldOut"":false},{""name"":""위치 문의"",""price"":""무료"",""description"":""주요 부스와 공연장 안내"",""soldOut"":false}]","편의","01:00:00","","상시","10:00:00","false","충전, 대여, 편의"
"48","다트, 링토스, 랜덤 미션을 즐기고 경품을 받을 수 있는 게임 부스입니다.","37.2815","127.0446","미니 게임 존","48","https://picsum.photos/seed/festflow-16/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.337741","150","10","다트, 링토스, 랜덤 미션을 즐기고 경품을 받을 수 있는 게임 부스입니다. 운영시간은 12:00부터 22:00까지입니다.","","[{""name"":""기본 체험권"",""price"":""3000원"",""description"":""1회 참여"",""soldOut"":false},{""name"":""2인 체험권"",""price"":""5000원"",""description"":""친구와 함께 참여"",""soldOut"":false},{""name"":""기념 출력"",""price"":""2000원"",""description"":""결과물 추가 출력"",""soldOut"":false}]","게임","22:00:00","","상시","12:00:00","false","게임, 경품, 미션"
"50","축제 야간 시간대에 운영되는 주점 부스입니다.","37.3","127.1","캠퍼스 야간주점","49","https://picsum.photos/seed/festflow-default/800/450","43","시뮬레이션: 현재 212명 · 매우 혼잡","2026-06-12T02:02:00.342740","10","10","","","","주점","","","야간","","true",""
"52","떡볶이, 순대, 김말이처럼 회전율이 빠른 분식 메뉴를 판매합니다.","37.2824","127.0458","청춘 분식 연구소","50","https://picsum.photos/seed/festflow-17/800/450","47","시뮬레이션: 현재 234명 · 매우 혼잡","2026-06-12T02:02:00.346736","85","10","떡볶이, 순대, 김말이처럼 회전율이 빠른 분식 메뉴를 판매합니다. 운영시간은 11:00부터 23:30까지입니다.","","[{""name"":""대표 메뉴"",""price"":""7000원"",""description"":""빠르게 받을 수 있는 기본 메뉴"",""soldOut"":false},{""name"":""사이드 메뉴"",""price"":""4000원"",""description"":""간단히 나눠 먹기 좋음"",""soldOut"":false},{""name"":""세트 메뉴"",""price"":""10000원"",""description"":""음료 포함"",""soldOut"":false}]","푸드","23:30:00","","상시","11:00:00","false","분식, 떡볶이, 빠른주문"
"53","무알콜 칵테일과 과일 에이드를 함께 판매하는 야간 부스입니다.","37.2835","127.045","달빛 칵테일 바","51","https://picsum.photos/seed/festflow-18/800/450","49","시뮬레이션: 현재 243명 · 매우 혼잡","2026-06-12T02:02:00.351741","32","10","무알콜 칵테일과 과일 에이드를 함께 판매하는 야간 부스입니다. 운영시간은 18:00부터 01:00까지입니다.","","[{""name"":""대표 안주 세트"",""price"":""12000원"",""description"":""현장 인기 메뉴 조합"",""soldOut"":false},{""name"":""논알콜 음료"",""price"":""3000원"",""description"":""누구나 주문 가능"",""soldOut"":false},{""name"":""오늘의 한정 메뉴"",""price"":""9000원"",""description"":""재고 소진 시 마감"",""soldOut"":false}]","주점","01:00:00","","야간","18:00:00","true","주점, 무알콜, 에이드"
"54","텀블러 세척, 생수 리필, 다회용기 대여를 지원하는 친환경 부스입니다.","37.2812","127.0449","제로웨이스트 리필샵","52","https://picsum.photos/seed/festflow-19/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.356744","180","10","텀블러 세척, 생수 리필, 다회용기 대여를 지원하는 친환경 부스입니다. 운영시간은 10:00부터 23:00까지입니다.","","[{""name"":""현장 안내"",""price"":""무료"",""description"":""스태프에게 문의하세요"",""soldOut"":false},{""name"":""긴급 도움"",""price"":""무료"",""description"":""필요 시 즉시 지원"",""soldOut"":false},{""name"":""위치 문의"",""price"":""무료"",""description"":""주요 부스와 공연장 안내"",""soldOut"":false}]","편의","23:00:00","","상시","10:00:00","false","친환경, 리필, 텀블러"
"55","동아리별 스티커, 키링, 포스터를 판매하는 플리마켓입니다.","37.2811","127.0454","동아리 굿즈 플리마켓","53","https://picsum.photos/seed/festflow-20/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.360741","58","10","동아리별 스티커, 키링, 포스터를 판매하는 플리마켓입니다. 운영시간은 11:00부터 19:00까지입니다.","","[{""name"":""기념 스티커"",""price"":""2000원"",""description"":""축제 한정 디자인"",""soldOut"":false},{""name"":""랜덤 굿즈"",""price"":""5000원"",""description"":""현장 수량 한정"",""soldOut"":false},{""name"":""패키지 세트"",""price"":""12000원"",""description"":""인기 상품 묶음"",""soldOut"":false}]","굿즈","19:00:00","","주간","11:00:00","false","굿즈, 키링, 포스터"
"56","사진과 짧은 문답을 바탕으로 오늘의 축제 운세 카드를 생성합니다.","37.283","127.046","AI 운세 사진관","54","https://picsum.photos/seed/festflow-22/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.365756","44","10","사진과 짧은 문답을 바탕으로 오늘의 축제 운세 카드를 생성합니다. 운영시간은 13:00부터 23:00까지입니다.","","[{""name"":""기본 체험권"",""price"":""3000원"",""description"":""1회 참여"",""soldOut"":false},{""name"":""2인 체험권"",""price"":""5000원"",""description"":""친구와 함께 참여"",""soldOut"":false},{""name"":""기념 출력"",""price"":""2000원"",""description"":""결과물 추가 출력"",""soldOut"":false}]","체험","23:00:00","","상시","13:00:00","false","AI, 사진, 카드"
"57","QR 단서를 따라 캠퍼스를 이동하며 문제를 해결하는 팀 미션입니다.","37.2819","127.0459","캠퍼스 방탈출","55","https://picsum.photos/seed/festflow-23/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.369759","12","10","QR 단서를 따라 캠퍼스를 이동하며 문제를 해결하는 팀 미션입니다. 운영시간은 12:00부터 21:00까지입니다.","","[{""name"":""현장 안내"",""price"":""무료"",""description"":""스태프에게 문의하세요"",""soldOut"":false},{""name"":""긴급 도움"",""price"":""무료"",""description"":""필요 시 즉시 지원"",""soldOut"":false},{""name"":""위치 문의"",""price"":""무료"",""description"":""주요 부스와 공연장 안내"",""soldOut"":false}]","이벤트","21:00:00","","상시","12:00:00","true","미션, 방탈출, QR"
"58","공연 종료 후 몰리는 라면, 어묵, 주먹밥 야식 부스입니다.","37.2836","127.044","심야 라면 포차","56","https://picsum.photos/seed/festflow-24/800/450","31","시뮬레이션: 현재 152명 · 매우 혼잡","2026-06-12T02:02:00.374753","26","10","공연 종료 후 몰리는 라면, 어묵, 주먹밥 야식 부스입니다. 운영시간은 20:00부터 02:00까지입니다.","","[{""name"":""대표 메뉴"",""price"":""7000원"",""description"":""빠르게 받을 수 있는 기본 메뉴"",""soldOut"":false},{""name"":""사이드 메뉴"",""price"":""4000원"",""description"":""간단히 나눠 먹기 좋음"",""soldOut"":false},{""name"":""세트 메뉴"",""price"":""10000원"",""description"":""음료 포함"",""soldOut"":false}]","푸드","02:00:00","","야간","20:00:00","true","야식, 라면, 어묵"
"59","돗자리 대여와 휴식 안내를 제공하는 피크닉 편의 구역입니다.","37.2823","127.0431","잔디광장 피크닉존","57","https://picsum.photos/seed/festflow-25/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.380271","90","10","돗자리 대여와 휴식 안내를 제공하는 피크닉 편의 구역입니다. 운영시간은 10:00부터 23:00까지입니다.","","[{""name"":""현장 안내"",""price"":""무료"",""description"":""스태프에게 문의하세요"",""soldOut"":false},{""name"":""긴급 도움"",""price"":""무료"",""description"":""필요 시 즉시 지원"",""soldOut"":false},{""name"":""위치 문의"",""price"":""무료"",""description"":""주요 부스와 공연장 안내"",""soldOut"":false}]","편의","23:00:00","","상시","10:00:00","false","휴식, 돗자리, 피크닉"
